model,kw,n,bertscore_precision_src,nli_score,entail_mean,contra_mean,support_rate,contradiction_rate,qags_doc_f1_mean,qags_doc_f1_median,qags_doc_f1_prop_ge_05,qags_nq,run
bart-base_cs,KW,200,0.7495032,0.5718089099916064,0.7874074972361033,0.21559858724449682,0.8061130952380953,0.17772619047619048,0.00028075457576376135,7.246376811594203e-05,0.0,6.005,1
bart-base_cs,noKW,200,0.6901248,0.4819883130525261,0.713834052739762,0.23184573968723585,0.7253095238095238,0.1965714285714286,9.820629462393088e-05,0.0,0.0,5.85,1
bert2bert_cs,KW,200,0.15071954,-0.06607400742462292,0.1459631230236361,0.21203713044825903,0.06708333333333333,0.16375,0.0,0.0,0.0,0.075,1
bert2bert_cs,noKW,200,0.18105608,-0.0435890863384969,0.11490319354695627,0.15849227988545317,0.05958333333333333,0.10541666666666666,0.0,0.0,0.0,0.16,1
t5-base,zero-shot,200,0.6053997,0.5419124931675227,0.804727935944548,0.26281544277702534,0.8105833333333333,0.21991666666666668,0.0027277782637856124,0.002785714285714286,0.0025,1.25,1
t5-base_cs,KW,200,0.718122,0.5640190509710277,0.7918251700183028,0.22780611904727507,0.8018333333333334,0.18358333333333335,0.001250901330117677,0.00014492753623188405,0.0008333333333333333,5.13,1
t5-base_cs,KWplus,200,0.710762,0.5556733921191384,0.7754760112165677,0.21980261909742935,0.78175,0.17316666666666666,0.0010559493183052,0.00035326086956521746,0.000625,5.285,1
t5-base_cs,KWprefix,200,0.73926044,0.593039364974715,0.8286510361758118,0.23561167120109686,0.8365714285714286,0.1858095238095238,0.000428117265996979,0.00014492753623188405,0.0,5.53,1
t5-base_cs,noKW,200,0.7055789,0.5336673783410064,0.7621869778699357,0.2285195995289292,0.7698690476190477,0.18396428571428572,0.0010227267269430735,0.00035326086956521746,0.000625,5.075,1
bart-base_cs,KW,200,0.7524719,0.563787973098996,0.8039900311876172,0.24020205808862133,0.8239166666666666,0.21152380952380953,0.000561614693090044,7.246376811594203e-05,0.0,5.975,2
bart-base_cs,noKW,200,0.6839905,0.4829716357093379,0.7248483123053794,0.24187667659604145,0.7389761904761905,0.2076309523809524,0.00018324735005972314,0.0,0.0,5.675,2
bert2bert_cs,KW,200,0.15019062,-0.05849679297284456,0.1564288647379338,0.2149256577107784,0.07433333333333333,0.15808333333333333,0.0,0.0,0.0,0.09,2
bert2bert_cs,noKW,200,0.17609386,-0.05683323737053919,0.11650526600625018,0.17333850337678935,0.07083333333333333,0.13570833333333332,0.0,0.0,0.0,0.205,2
t5-base,zero-shot,200,0.6154368,0.5578748025934328,0.8410235854975666,0.28314878290413376,0.8480833333333334,0.2528333333333333,0.0027277782637856124,0.002785714285714286,0.0025,1.38,2
t5-base_cs,KW,200,0.7119825,0.5732292927050294,0.8049813816749084,0.23175208896987898,0.8161666666666666,0.18891666666666665,0.0008247387598264023,0.00014492753623188405,0.0008333333333333333,5.265,2
t5-base_cs,KWplus,200,0.7097493,0.553399264614156,0.7893582621604388,0.23595899754628288,0.7973333333333333,0.18808333333333332,0.0008032564827050274,0.00014492753623188405,0.0008333333333333333,5.335,2
t5-base_cs,KWprefix,200,0.7448169,0.5925898864385464,0.8470013222157057,0.2544114357771593,0.8514880952380952,0.2204642857142857,0.0007714806144629939,0.00014492753623188405,0.0008333333333333333,5.53,2
t5-base_cs,noKW,200,0.70196474,0.5302358039087558,0.7686098842100278,0.23837408030127213,0.7697499999999999,0.19733333333333333,0.0007254578193800484,0.00035326086956521735,0.0007142857142857143,5.1,2
bart-base_cs,KW,200,0.75035125,0.5624592200849223,0.7916063659621217,0.22914714587719934,0.8072261904761905,0.19264285714285717,0.00020467836257309941,0.0,0.0,6.205,3
bart-base_cs,noKW,200,0.68741554,0.48434711608609776,0.7276233068276169,0.24327619074151915,0.7409642857142857,0.20141666666666666,7.494698284171968e-05,0.0,0.0,6.015,3
bert2bert_cs,KW,200,0.15045644,-0.10990296988415744,0.14722349675284932,0.2571264666370068,0.07375,0.21875,0.0,0.0,0.0,0.13,3
bert2bert_cs,noKW,200,0.1813774,-0.06714711584553394,0.11844384634004866,0.1855909621855826,0.0725,0.14291666666666666,0.0,0.0,0.0,0.195,3
t5-base,zero-shot,200,0.6029692,0.5527324733119652,0.8311229012148881,0.27839042790292295,0.84875,0.24541666666666664,0.0025,0.0025,0.0025,1.35,3
t5-base_cs,KW,200,0.7219718,0.5732783985136823,0.8161978690783387,0.24291947056465626,0.82825,0.20441666666666666,0.0011409429601186567,0.0,0.000625,5.48,3
t5-base_cs,KWplus,200,0.7183441,0.5588740224198215,0.7988600130116054,0.23998599059178377,0.80425,0.20441666666666666,0.0007942143962848297,0.0,0.000625,5.48,3
t5-base_cs,KWprefix,200,0.73787534,0.5952779101616741,0.8337080338126994,0.2384301236510253,0.8384880952380952,0.19526190476190475,0.00031391214779372676,0.0,0.0,5.62,3
t5-base_cs,noKW,200,0.69347227,0.5327534235402563,0.7634160687132485,0.2306626451729923,0.7693333333333334,0.18516666666666665,0.00101583853238265,0.00020833333333333332,0.000625,5.225,3
