model,kw,n,rouge1_f,rouge2_f,rougeL_f,bleu,run
bart-base_cs,KW,200,0.222186094358374,0.09578661465988199,0.16053508510579548,3.6038240111241002,1
bart-base_cs,noKW,200,0.21865023503899844,0.08666728995999154,0.15589236124543548,3.1872162156770942,1
bert2bert_cs,KW,200,0.10644064305202618,0.005486767389063514,0.08526693531324156,0.9766429284912435,1
bert2bert_cs,noKW,200,0.10984101020897542,0.007730013925597465,0.08557235767203053,1.0047188942015899,1
t5-base,zero-shot,200,0.27731142707616735,0.10393011938874422,0.20654089253264288,5.188894903327822,1
t5-base_cs,KW,200,0.24652742372541003,0.10362062737949186,0.18226385278141627,4.304233171270465,1
t5-base_cs,KWplus,200,0.24023542378418225,0.1022952446380125,0.1775888984877966,4.15382305490123,1
t5-base_cs,KWprefix,200,0.24098056196221415,0.10397684688712854,0.17764546193554792,4.207238596792123,1
t5-base_cs,noKW,200,0.24141041210171316,0.09835688380498833,0.1736052966943239,3.9751237572958042,1
bart-base_cs,KW,200,0.2210299897404202,0.09029654314788871,0.15326094446416974,3.24697708335066,2
bart-base_cs,noKW,200,0.22164574145229984,0.08500456205116587,0.1538209773753688,2.922289750456642,2
bert2bert_cs,KW,200,0.10356861438117967,0.005897989434709895,0.08544684508629703,0.975260119210458,2
bert2bert_cs,noKW,200,0.10736099430947663,0.008013330216611558,0.08681155021216286,0.9860508439993554,2
t5-base,zero-shot,200,0.27311861796875275,0.09835374845379205,0.19741111128214708,4.4669366941263915,2
t5-base_cs,KW,200,0.24232000685417984,0.0983771660238437,0.1737606416202897,3.992686241012803,2
t5-base_cs,KWplus,200,0.24042267178014723,0.09976393262707446,0.1714824846189602,3.8278581663530002,2
t5-base_cs,KWprefix,200,0.2431220477266663,0.10550932867567589,0.17800379724387352,4.115107480528028,2
t5-base_cs,noKW,200,0.23470068421123522,0.09622529610257631,0.17099463417261876,3.7562645030235244,2
bart-base_cs,KW,200,0.2205015458431189,0.0925225733188511,0.15551858635465435,3.378064667700282,3
bart-base_cs,noKW,200,0.22064527976604328,0.0897715242207247,0.15618765572266186,3.3616593132535963,3
bert2bert_cs,KW,200,0.10397193242735173,0.005820528320710754,0.08217816601150787,0.9759107692979834,3
bert2bert_cs,noKW,200,0.10874919090274675,0.008420679052412405,0.08505556759023597,1.0327977996206992,3
t5-base,zero-shot,200,0.27254718706380016,0.10184865681532619,0.19758385188344782,4.85304331363841,3
t5-base_cs,KW,200,0.23967222988954387,0.09997475519059504,0.1772047936009898,4.04573288762431,3
t5-base_cs,KWplus,200,0.23678378071454387,0.09649034078185853,0.17083126787597738,3.7773099958979675,3
t5-base_cs,KWprefix,200,0.2392881020666894,0.10123063162107344,0.17245147214738268,3.9088505389118415,3
t5-base_cs,noKW,200,0.23558878604123684,0.09311689996587924,0.16969623292496006,3.7203955101257127,3
